Universities;Total incoming students;QS ranking 2019 (world);QS ranking 2019 (Italy);ARWU ranking 2019 (world);ARWU ranking 2019 (Italy);Total number of students;% incoming students
ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA;2633;180;4;201-300;5;81183;3,24%
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA;1764;217;5;151-200;1;100362;1,76%
UNIVERSITA DEGLI STUDI DI PADOVA;1600;249;6;201-300;7;59337;2,70%
POLITECNICO DI MILANO;1414;156;1;201-300;4;45544;3,10%
UNIVERSITA DEGLI STUDI DI FIRENZE;1258;501-510;13;201-300;6;52569;2,39%
UNIVERSITA DEGLI STUDI DI TORINO;917;571-580;15;201-300;8;72468;1,27%
UNIVERSITA COMMERCIALE LUIGI BOCCONI;753;;;;;13412;5,61%
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II;741;472;11;301-400;9;76384;0,97%
UNIVERSITA DEGLI STUDI DI FOGGIA;736;;;;;10470;7,03%
POLITECNICO DI TORINO;724;387;8;501-600;18;33115;2,19%
UNIVERSITA DI PISA;716;422;9;151-200;3;45434;1,58%
UNIVERSITA DEGLI STUDI DI MILANO;696;325;7;151-200;2;61627;1,13%
UNIVERSITA DEGLI STUDI DI PERUGIA;696;751-800;24;401-500;15;23305;2,99%
UNIVERSITA DEGLI STUDI ROMA TRE;642;801-1000;27;901-1000;43;32499;1,98%
UNIVERSITA DEGLI STUDI DI PALERMO;551;801-1000;28;601-700;29;40073;1,37%
UNIVERSITA' DEGLI STUDI DI SIENA;543;701-750;20;501-600;22;16105;3,37%
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA;527;511-520;14;501-600;21;29485;1,79%
UNIVERSITA DEGLI STUDI DI SALERNO;522;;;701-800;36;35790;1,46%
UNIVERSITA DEGLI STUDI DI GENOVA;520;701-750;19;401-500;13;32382;1,61%
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO;514;801-1000;29;;;43465;1,18%
UNIVERSITA CA' FOSCARI VENEZIA;495;751-800;23;;;20795;2,38%
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI;484;;;;;9184;5,27%
UNIVERSITA DEGLI STUDI DI CAGLIARI;479;;;801-900;38;25450;1,88%
UNIVERSITA DEGLI STUDI DI PAVIA;452;581-590;16;301-400;10;23117;1,96%
UNIVERSITA CATTOLICA DEL SACRO CUORE;437;491;12;401-500;11;39510;1,11%
UNIVERSITA DEGLI STUDI DI SASSARI;437;;;;;13205;3,31%
UNIVERSITA DEGLI STUDI DI TRENTO;434;426;10;401-500;16;16528;2,63%
UNIVERSITA DEGLI STUDI DI PARMA;424;;;601-700;30;25358;1,67%
UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA;421;801-1000;26;701-800;35;24412;1,72%
UNIVERSITA DEGLI STUDI DI VERONA;408;801-1000;30;501-600;23;24188;1,69%
UNIVERSITA' DEGLI STUDI DI MILANO-BICOCCA;338;601-650;17;401-500;14;33752;1,00%
UNIVERSITA DEGLI STUDI DI TRIESTE;334;701-750;21;601-700;31;15239;2,19%
LIBERA UNIVERSITA MARIA SS. ASSUNTA DI ROMA;331;;;;;5742;5,76%
UNIVERSITA DEGLI STUDI DI CATANIA;324;801-1000;25;601-700;27;41989;0,77%
UNIVERSITA DEGLI STUDI DI FERRARA;312;701-750;18;501-600;20;19287;1,62%
POLITECNICO DI BARI;282;;;501-600;19;9913;2,84%
UNIVERSITA DEGLI STUDI DELLA TUSCIA;268;;;701-800;34;8352;3,21%
UNIVERSITA IUAV DI VENEZIA;219;;;;;3959;5,53%
UNIVERSITA' DEGLI STUDI DI BERGAMO;216;;;;;18734;1,15%
UNIVERSITA DEL SALENTO;197;;;901-1000;46;16874;1,17%
UNIVERSITA POLITECNICA DELLE MARCHE;195;;;801-900;37;15449;1,26%
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI;171;;;701-800;33;25048;0,68%
UNIVERSITA DEGLI STUDI GABRIELE D'ANNUNZIO DI CHIETI-PESCARA;171;;;901-1000;44;24718;0,69%
UNIVERSITA DEGLI STUDI DI NAPOLI L'ORIENTALE;162;;;;;11204;1,45%
UNIVERSITA DELLA CALABRIA;158;;;801-900;39;26350;0,60%
LIBERA UNIVERSITA DI BOLZANO;157;;;701-800;32;3766;4,17%
UNIVERSITA DEGLI STUDI DI MESSINA;156;;;801-900;40;23174;0,67%
UNIVERSITA DEGLI STUDI DI UDINE;156;;;801-900;41;15296;1,02%
UNIVERSITA DEGLI STUDI DI MACERATA;154;;;;;10123;1,52%
UNIVERSITA DEGLI STUDI DELL'AQUILA;150;;;601-700;28;16446;0,91%
UNIVERSITA CARLO CATTANEO LIUC;141;;;;;2148;6,56%
Universita' degli Studi di Urbino Carlo Bo;129;;;801-900;42;14411;0,90%
UNIVERSITA DEGLI STUDI DI BRESCIA;125;701-750;22;601-700;25;14394;0,87%
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE;110;;;;;7346;1,50%
UNIVERSITA DEGLI STUDI DEL SANNIO;108;;;;;4991;2,16%
UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO;104;;;;;2224;4,68%
LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM;99;;;;;5794;1,71%
UNIVERSITA DEGLI STUDI DEL MOLISE;94;;;;;7179;1,31%
UNIVERSITA DEGLI STUDI DI TERAMO;80;;;;;5852;1,37%
UNIVERSITA DEGLI STUDI DI NAPOLI PARTHENOPE;78;;;;;12376;0,63%
UNIVERSITA DEGLI STUDI DELL'INSUBRIA;74;;;901-1000;45;10648;0,69%
UNIVERSITA DEGLI STUDI DI ENNA KORE;71;;;;;5284;1,34%
UNIVERSITA DEGLI STUDI DI CAMERINO;69;;;;;6790;1,02%
UNIVERSITA DEGLI STUDI NICCOLO CUSANO TELEMATICA ROMA;64;;;;;23252;0,28%
UNIVERSITA DEGLI STUDI DELLA BASILICATA;50;;;;;6661;0,75%
UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA;49;;;;;1319;3,71%
UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA;49;;;;;5286;0,93%
UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO;48;;;;;12992;0,37%
UNIVERSITA CAMPUS BIO MEDICO DI ROMA;38;;;;;1870;2,03%
UNIVERSITA VITA-SALUTE SAN RAFFAELE;37;;;501-600;24;2740;1,35%
UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO;26;;;;;10828;0,24%
SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA;25;167;2;;;;
UNIVERSITA DELLA VALLE D'AOSTA;22;;;;;1071;2,05%
SCUOLA NORMALE SUPERIORE;9;175;3;401-500;12;576;1,56%
